interval,selection,decision,schedule,schedulingtime
89,[],[],"[(0, 3), (1, 6), (2, 12), (3, 1), (4, 10), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 7), (11, 6), (12, 14), (13, 15), (14, 2), (15, 5)]",0.010463476181030273
90,[],"[(2, 12), (14, 15)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 10), (5, 4), (6, 6), (7, 11), (8, 0), (9, 14), (10, 7), (11, 6), (12, 14), (13, 15), (14, 15), (15, 5)]",0.019747257232666016
91,[],"[(7, 8), (11, 11)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 10), (5, 4), (6, 6), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 14), (13, 15), (14, 15), (15, 5)]",0.022601842880249023
92,[],"[(15, 10)]","[(0, 3), (1, 6), (2, 12), (3, 1), (4, 10), (5, 4), (6, 6), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 14), (13, 15), (14, 15), (15, 10)]",0.012806177139282227
93,[],"[(2, 10)]","[(0, 3), (1, 6), (None, None), (3, 1), (4, 10), (5, 4), (6, 6), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 14), (13, 15), (14, 15), (15, 10)]",0.012103796005249023
94,[],"[(1, 6), (2, 10), (5, 2), (6, 7)]","[(0, 3), (1, 6), (None, None), (3, 1), (4, 10), (5, 2), (6, 7), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 14), (13, 15), (14, 15), (15, 10)]",0.022143125534057617
95,[],"[(2, 10), (5, 4), (12, 14)]","[(0, 3), (1, 6), (2, 10), (3, 1), (4, 10), (5, 4), (6, 7), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 14), (13, 15), (14, 15), (15, 10)]",0.010761499404907227
96,[],"[(2, 12), (3, 8)]","[(0, 3), (1, 6), (2, 12), (3, 8), (4, 10), (5, 4), (6, 7), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 14), (13, 15), (14, 15), (15, 10)]",0.010777711868286133
97,[],"[(9, 4), (11, 4)]","[(0, 3), (1, 6), (2, 12), (3, 8), (4, 10), (5, 4), (6, 7), (7, 8), (8, 0), (9, 4), (10, 7), (None, None), (12, 14), (13, 15), (14, 15), (15, 10)]",0.011200904846191406
98,[],"[(0, 1), (9, 1), (11, 4)]","[(0, 1), (1, 6), (2, 12), (3, 8), (4, 10), (5, 4), (6, 7), (7, 8), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 15), (15, 10)]",0.012607097625732422
99,[],"[(13, 15)]","[(0, 1), (1, 6), (2, 12), (3, 8), (4, 10), (5, 4), (6, 7), (7, 8), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 15), (15, 10)]",0.011013269424438477
100,[],"[(4, 6), (8, 13), (10, 15)]","[(0, 1), (1, 6), (2, 12), (3, 8), (None, None), (5, 4), (6, 7), (7, 8), (8, 13), (9, 1), (None, None), (11, 4), (12, 14), (13, 15), (14, 15), (15, 10)]",0.011049985885620117
101,[],"[(0, 15), (2, 10), (4, 10), (8, 10), (9, 14), (10, 15)]","[(0, 15), (1, 6), (2, 10), (3, 8), (None, None), (5, 4), (6, 7), (7, 8), (None, None), (9, 14), (10, 15), (11, 4), (12, 14), (13, 15), (14, 15), (15, 10)]",0.016754150390625
